summary-marketing-airlines,itemAirport,itemAirport 2,summary-luggage-unit,summary-transit,money-int,zaman
easyJet,LGW,CDG,El çantası,Direkt Uçuş,10093,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,10612,80
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,10879,95
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,11468,255
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,11676,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,141
Scandinavian Airlines,LHR,ARN,1x23 kg,1 Aktarma,11704,355
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,11758,85
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,11758,85
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,11817,80
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,11925,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,11943,85
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,11943,85
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,12193,80
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,12274,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,12461,80
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,12461,80
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,12649,75
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,1281,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,12825,75
Luxair,LCY,LUX,1x23 kg,1 Aktarma,1287,1420
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,140
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,140
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,143
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,143
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,151
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,134,80
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1165
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1190
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1255
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1390
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1420
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1445
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1455
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,13829,80
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,375
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,385
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,425
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,435
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,485
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,555
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,605
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,615
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,665
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,13926,85
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,13926,85
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,14109,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,14109,142
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,14435,860
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1475,700
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1484,775
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,15258,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,15258,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1529,930
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,15335,625
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15821,840
Luxair,LCY,LUX,1x23 kg,1 Aktarma,15915,1190
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,15975,690
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,15986,450
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,16245,310
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,16245,535
Eurowings,LHR,HAM,El çantası,1 Aktarma,16274,270
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,265
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,320
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,325
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,380
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,495
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,545
Vueling Airlines,LHR,ORY,1x25 kg,Direkt Uçuş,17309,95
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,17419,295
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,17504,245
Austrian,LHR,VIE,1x23 kg,1 Aktarma,17557,1295
Austrian,LHR,VIE,1x23 kg,1 Aktarma,17557,1375
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,17619,485
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,17619,705
Swiss,LCY,ZRH,1x23 kg,1 Aktarma,1775,255
Lufthansa,LCY,FRA,1x23 kg,1 Aktarma,18087,295
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,600
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,18303,80
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18386,790
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,18473,270
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,18524,645
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18541,450
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,1872,885
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,18878,220
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,18878,410
Iberia,LGW,BCN,1x23 kg,1 Aktarma,19254,335
Eurowings,LHR,HAM,1x23 kg,1 Aktarma,1962,635
Swiss,LHR,ZRH,1x23 kg,1 Aktarma,19935,710
Norwegian Air International,LGW,CPH,El çantası,1 Aktarma,21133,605
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,2175,785
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,21809,95
Luxair,LCY,LUX,1x23 kg,1 Aktarma,21823,400
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,21981,80
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,21994,95
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,260
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,375
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,690
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25544,700
Norwegian Air Shuttle,LGW,OSL,El çantası,1 Aktarma,25624,620
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,25875,735
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,25984,380
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,26146,250
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,26264,80
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,28623,370
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,75
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,75
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,38553,825
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,38884,825
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,39167,265
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,39286,350
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,52093,325
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,52093,325
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,52093,350
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,52426,270
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,395
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,440
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,470
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,515
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,565
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,4804,85
easyJet,LTN,CDG,El çantası,Direkt Uçuş,5787,80
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,6871,85
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,71,690
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,745,75
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,7455,780
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,7455,850
KM Malta Airlines,LHR,MLA,El çantası,1 Aktarma,7538,690
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,7572,85
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,813,930
easyJet,LGW,CDG,El çantası,Direkt Uçuş,8164,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,8378,80
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,8399,95
easyJet,LTN,CDG,El çantası,Direkt Uçuş,8911,80
Luxair,LCY,LUX,1x23 kg,1 Aktarma,8919,1440
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,9017,80
ITA - Italia Trasporto Aereo,LGW,FCO,El çantası,1 Aktarma,9192,635
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,9427,830
easyJet,LGW,CDG,El çantası,Direkt Uçuş,9715,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,993,80
ITA - Italia Trasporto Aereo,LCY,LIN,El çantası,1 Aktarma,995,360
easyJet,LGW,CDG,El çantası,Direkt Uçuş,9984,80
Iberia,LGW,BCN,1x23 kg,1 Aktarma,10301,630
Iberia,LGW,BCN,1x23 kg,1 Aktarma,10301,640
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,1046,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,144
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,1046,144
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,1046,152
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,1046,152
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,10489,85
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,10816,80
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,10855,95
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,1104,95
KM Malta Airlines,LGW,MLA,El çantası,1 Aktarma,11118,430
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,11186,1060
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11288,1405
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,11288,1465
KLM Royal Dutch Airlines,LHR,AMS,1x23 kg,1 Aktarma,11308,365
KM Malta Airlines,LGW,MLA,El çantası,1 Aktarma,11329,1205
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,1144,75
Iberia,LHR,BCN,1x23 kg,1 Aktarma,11498,690
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,11591,480
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,11628,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,11676,140
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,11676,140
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,11915,675
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,11925,375
KLM Royal Dutch Airlines,LCY,AMS,1x23 kg,1 Aktarma,12013,350
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,12065,240
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,12065,270
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,12111,80
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1223,320
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1259,440
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,12596,1345
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,12644,680
Luxair,LCY,LUX,Kabin bagajı,1 Aktarma,12708,195
Luxair,LCY,LUX,1x23 kg,1 Aktarma,12764,650
Luxair,LCY,LUX,1x23 kg,1 Aktarma,12764,1185
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,12825,80
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,145
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,145
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,147
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,147
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,151
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,12942,85
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,1304,75
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,1304,80
Royal Air Maroc,LHR,CMN,1x23 kg,1 Aktarma,13046,670
Royal Air Maroc,LHR,CMN,1x23 kg,1 Aktarma,13046,710
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,13157,80
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,1321,80
Royal Air Maroc,LGW,CMN,1x23 kg,1 Aktarma,13399,800
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13571,910
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13716,265
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1215
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1415
Brussels Airlines,LHR,BRU,1x23 kg,1 Aktarma,1382,1470
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,260
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,320
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,380
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,440
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,500
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,560
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,620
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,745
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,805
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,13882,865
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,13905,295
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,13905,300
Air Europa,LGW,MAD,El çantası,1 Aktarma,14052,445
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,14109,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,14109,142
Luxair,LCY,LUX,1x23 kg,1 Aktarma,14413,195
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,14416,1000
Vueling Airlines,LHR,ORY,1x25 kg,Direkt Uçuş,14435,95
Royal Air Maroc,LGW,CMN,1x23 kg,1 Aktarma,15091,785
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,15258,80
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,15314,745
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,15314,865
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15655,830
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15821,325
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15821,450
Bulgaria Air,LHR,SOF,El çantası,1 Aktarma,15836,1395
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,15966,265
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16196,925
Luxair,LCY,LUX,Kabin bagajı,1 Aktarma,16228,395
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,16297,460
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,16297,485
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,265
Lufthansa,LHR,FRA,1x23 kg,1 Aktarma,16309,325
Luxair,LCY,LUX,1x23 kg,1 Aktarma,17757,395
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,350
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,365
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,18193,915
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,18303,80
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,18303,80
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,18524,350
Air Algerie,STN,ALG,1x23 kg,1 Aktarma,19025,435
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21672,375
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,21811,325
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,26674,80
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,26674,80
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,27398,95
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,75
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
British Airways,LHR,CDG,1x23 kg,Direkt Uçuş,34979,80
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,675
Iberia,LGW,BCN,1x23 kg,1 Aktarma,65925,685
Iberia,LHR,BCN,1x23 kg,1 Aktarma,67772,645
Iberia,LHR,BCN,1x23 kg,1 Aktarma,72044,690
easyJet,LTN,CDG,El çantası,Direkt Uçuş,4228,80
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,5161,90
easyJet,LTN,CDG,El çantası,Direkt Uçuş,5945,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,6052,75
easyJet,LTN,CDG,El çantası,Direkt Uçuş,6052,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,6212,80
easyJet,LGW,CDG,El çantası,Direkt Uçuş,6393,75
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,658,80
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,661,85
easyJet,LGW,CDG,El çantası,Direkt Uçuş,7208,80
Vueling Airlines,LGW,ORY,El çantası,Direkt Uçuş,7335,85
Vueling Airlines,LHR,ORY,El çantası,Direkt Uçuş,736,95
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,7572,90
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,781,90
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,8292,80
easyJet,LTN,CDG,1x23 kg,Direkt Uçuş,8399,80
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8667,75
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,8865,85
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,8878,80
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,9038,75
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,905,85
easyJet,LGW,CDG,1x23 kg,Direkt Uçuş,9843,80
Iberia,LHR,ORY,1x23 kg,Direkt Uçuş,10855,95
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,10859,90
Scandinavian Airlines,LHR,CPH,1x23 kg,1 Aktarma,11029,345
British Airways,LHR,ORY,1x23 kg,Direkt Uçuş,1104,95
Iberia,LGW,ORY,1x23 kg,Direkt Uçuş,11758,85
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,11821,75
Air France,LHR,CDG,Kabin bagajı,Direkt Uçuş,11821,80
British Airways,LGW,ORY,1x23 kg,Direkt Uçuş,11943,85
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,1234,85
British Airways,LHR,CDG,Kabin bagajı,Direkt Uçuş,12574,75
Tunisair,LGW,TUN,El çantası,1 Aktarma,12788,510
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,138
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,140
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,140
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,141
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,142
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,144
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,144
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,145
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,145
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,146
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,149
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,3x30 kg,Direkt Uçuş,12892,151
Eurostar,QQS,XPG,2x23 kg,Direkt Uçuş,12892,151
Vueling Airlines,LGW,ORY,1x25 kg,Direkt Uçuş,13027,85
Vueling Airlines,LHR,ORY,1x25 kg,Direkt Uçuş,13038,95
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13434,325
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13563,600
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13714,265
KLM Royal Dutch Airlines,LHR,AMS,Kabin bagajı,1 Aktarma,13714,350
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,13765,250
KLM Royal Dutch Airlines,LCY,AMS,Kabin bagajı,1 Aktarma,14051,310
Lufthansa,LHR,MUC,1x23 kg,1 Aktarma,1433,1345
Lufthansa,LHR,MUC,1x23 kg,1 Aktarma,1433,1440
Eurowings,LHR,HAM,El çantası,1 Aktarma,14463,255
Luxair,LCY,LUX,1x23 kg,1 Aktarma,15038,970
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,15315,1040
Lufthansa,LHR,MUC,1x23 kg,1 Aktarma,15715,1060
Vueling Airlines,LHR,BCN,El çantası,1 Aktarma,1574,525
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,260
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,290
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,320
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,335
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,375
Air France,LHR,NCE,Kabin bagajı,1 Aktarma,15905,380
Aer Lingus,LHR,DUB,1x20 kg,1 Aktarma,15928,1000
